ID,CA,Protein,Ca Activity,,Sym,Light,SL,SE,Comp,Algae
BHL1,2.8,4.136521965,0.676897167,,B,HL,BHL,S,BHLS,78459.21876
BHL2,3.2,3.555454106,0.90002568,,B,HL,BHL,S,BHLS,166891.2436
BHL3,5.4,5.041736807,1.071059479,,B,HL,BHL,S,BHLS,126116.2747
BHL4,11.8,10.89790565,1.082776855,,B,HL,BHL,S,BHLS,179805.2137
BHL5,3,3.363939898,0.891811415,,B,HL,BHL,S,BHLS,80392.75869
BHL6,3.2,7.347539539,0.435519943,,B,HL,BHL,S,BHLS,71591.30426
BHL7,1.6,2.433030386,0.657616119,,B,HL,BHL,S,BHLS,91746.52363
BHL8,2.2,2.277951906,0.965779828,,B,HL,BHL,S,BHLS,114322.3783
BLL1,0.6,0.651453997,0.921016684,,B,LL,BLL,S,BLLS,140925.4776
BLL2,8,13.9025627,0.575433477,,B,LL,BLL,S,BLLS,125647.8634
BLL3,2.2,3.223872457,0.68240913,,B,LL,BLL,S,BLLS,167259.9517
BLL4,4,4.429139448,0.903109971,,B,LL,BLL,S,BLLS,95634.71744
BLL5,6.2,11.03048408,0.562078686,,B,LL,BLL,S,BLLS,179330.9381
BLL6,4.6,5.966843603,0.770926859,,B,LL,BLL,S,BLLS,118551.1035
BLL7,6,6.302107992,0.95206239,,B,LL,BLL,S,BLLS,75993.01947
BLL8,3.6,4.030737436,0.893136816,,B,LL,BLL,S,BLLS,99925.74615
BML1,5.8,6.292263794,0.921766822,,B,ML,BML,S,BMLS,57831.19763
BML2,13,12.65276263,1.027443601,,B,ML,BML,S,BMLS,104644.103
BML3,2.6,3.279132302,0.79289268,,B,ML,BML,S,BMLS,206855.2376
BML4,3.2,5.326983189,0.600715243,,B,ML,BML,S,BMLS,43956.86005
BML5,11.2,18.52455165,0.604603027,,B,ML,BML,S,BMLS,120938.4253
BML6,8,7.156547096,1.117857522,,B,ML,BML,S,BMLS,105532.2336
BML7,3.8,2.926735204,1.298375062,,B,ML,BML,S,BMLS,129862.6669
G1HL1,0.2,0.956231301,0.209154417,,G,HL,GHL,S,GHLS,122850.7608
G1HL2,0.4,1.567446203,0.255192171,,G,HL,GHL,S,GHLS,103522.776
