ID,CA,Protein,CA Activity,Size,Diameter,Notes
50,17.8,19.29930104,0.922313195,L,34,
51,19.4,18.97796006,1.022238425,L,41,
52,16.4,18.80993048,0.871879884,L,42,
53,13.4,18.98326775,0.705884792,L,41,
54,12.2,24.01490756,0.508017779,L,45,used 1/8 of anemone
55,16.2,27.80622429,0.582603371,L,42,
56,15.8,18.44049763,0.85680985,L,38.5,
57,17.6,22.88670848,0.769005295,L,44,
58,16.8,26.85800262,0.625511891,L,47,
59,14,27.24056868,0.513939344,L,43,
60,15,23.91677154,0.62717495,L,34,
61,13.4,24.04845008,0.557208467,L,43,
62,10.2,6.726966237,1.516285297,M,24,
63,14,13.79777986,1.014655991,M,28.5,
64,13.2,9.740098451,1.355222441,M,29,
65,11.6,7.437153791,1.55973647,M,26.5,
66,10.2,9.736449952,1.04760976,M,24.5,
67,10.8,6.874582063,1.571004594,M,25,
68,2.2,1.090441981,2.017530541,S,10,
69,1.8,0.95882125,1.877305076,S,11,
70,2.6,2.188391397,1.188087288,S,13,
71,15.6,10.74473885,1.451873351,M,28,
72,10.2,8.892433529,1.147042592,M,28,
73,6.2,4.2985495,1.442347006,M,18,
74,6.8,7.333557004,0.927244446,M,26,
75,14,27.91799901,0.501468604,L,49,
76,14,11.02807063,1.269487698,L,31,
77,11.6,13.96934602,0.830389625,L,46,
78,10.6,9.853365223,1.075774597,L,34,
79,0.8,0.512128575,1.562107719,S,6,
80,1.4,0.827686964,1.691460734,S,11,
81,3.4,1.712243744,1.985698597,S,14,
82,14.6,12.72115026,1.147694957,L,41.5,
83,5.6,3.822867815,1.464868855,M,28,
84,1.6,1.499053345,1.067340269,S,11,
85,0.6,0.636932064,0.942015694,S,7,
86,2.4,2.247644964,1.067784298,S,15,
87,9.6,19.2452392,0.498824665,L,48,
88,2,1.473238336,1.357553595,S,13,
89,3.2,2.037825826,1.570301033,S,12,
90,0.4,0.379271549,1.054653324,S,9,
91,2.2,1.351230602,1.628145482,S,7,
92,8.4,5.324722674,1.577546947,M,22,
93,1.2,0.756690318,1.585853514,S,9,
94,0.8,0.482468912,1.658137924,S,9,
95,1.8,0.779242058,2.309936921,S,6.5,
96,4,4.134845026,0.967388131,M,24,
97,0.8,0.545557586,1.466389654,S,9,
98,2.2,1.30446781,1.686511528,S,10,
99,4,1.681703007,2.378541266,S,9,
100,7.6,9.599300412,0.791724363,M,22,
101,11.2,13.31165693,0.841367837,M,29,
102,8.4,7.801158655,1.076763129,M,25,
103,7.4,4.551355805,1.625889145,M,25,
104,1.4,1.086538494,1.288495537,S,1,
105,16.8,17.33213107,0.969298001,L,36,
106,10.8,11.89640732,0.907837107,L,38.5,
107,9.4,9.421744046,0.997692142,M,27,
108,6,5.19589731,1.154757233,M,22,
109,11.8,7.589042714,1.554873315,M,22,
