gene,tr,mean,sd,lower,upper
sec404.2,control,6.76787317505135,0.59660627280701,5.81132428813836,7.76354144925033
sec404.2,G,5.40609561793913,0.606794057361604,4.37952550430249,6.35889259845374
sec404.2,S,7.29997135236446,0.621853911835522,6.30335005367918,8.34406316749067
secmb2502,control,4.86761371039548,0.623122903889959,3.80879948049541,5.86052633235944
secmb2502,G,4.78075676883441,0.619525498968479,3.75381779991967,5.74587170299112
secmb2502,S,1.73362146293209,0.699544068556627,0.578051193068774,2.89430128459623
mb34611,control,4.70441094648958,0.572606076847208,3.79354858622751,5.61198304016774
mb34611,G,2.98664505361989,0.576642340831095,2.01507958370626,3.90735565177207
mb34611,S,4.79935974479577,0.567922914278531,3.92450884120304,5.75430859239953
cytoweis,control,8.30296163864941,0.569832032830935,7.36336091073436,9.27239973535211
cytoweis,G,6.4133044139995,0.569464208355732,5.43719227144328,7.30646342767499
cytoweis,S,7.82141935126446,0.581271102769085,6.8937471186799,8.78377333177576
g3pd,control,12.0090766388223,0.541729465001814,11.1833469852425,12.914307779876
g3pd,G,10.403328709877,0.549575845745518,9.49568622718994,11.266151059358
g3pd,S,11.6085471193243,0.548789998928441,10.6978780763723,12.5297139629302
nadh,control,9.3862449150128,0.552435346323966,8.5126620563954,10.2978300601586
nadh,G,7.77853077146762,0.553639156710937,6.85663912487165,8.6596924896543
nadh,S,8.62669556607984,0.552359096631531,7.72712536105984,9.54871470164445
